???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,Offal,Cysticercus ovis (Offal),2020-05,England,32,5428,57,0.59
Goats,Offal,Cysticercus ovis (Offal),2020-06,England,2,1769,65,0.113
Goats,Offal,Cysticercus ovis (Offal),2020-06,Wales,1,25,7,4
Goats,Offal,Cysticercus tenuicollis,2020-04,England,23,1360,58,1.691
Goats,Offal,Cysticercus tenuicollis,2020-05,England,223,5428,57,4.108
Goats,Offal,Cysticercus tenuicollis,2020-06,England,38,1769,65,2.148
Goats,Offal,Cysticercus tenuicollis,2020-05,Wales,1,24,5,4.167
Goats,Offal,Cysticercus tenuicollis,2020-06,Wales,6,25,7,24
Goats,Offal,Fluke Immature,2020-04,England,3,1360,58,0.221
Goats,Offal,Fluke Immature,2020-05,England,9,5428,57,0.166
Goats,Offal,Fluke Immature,2020-06,England,1,1769,65,0.057
Goats,Offal,Fluke Mature,2020-04,England,4,1360,58,0.294
Goats,Offal,Fluke Mature,2020-05,England,46,5428,57,0.847
Goats,Offal,Fluke Mature,2020-06,England,19,1769,65,1.074
Goats,Offal,Fluke Mature,2020-05,Wales,3,24,5,12.5
Goats,Offal,Fluke Mature,2020-06,Wales,1,25,7,4
Goats,Offal,Historic Liver Scarring,2020-04,England,3,1360,58,0.221
Goats,Offal,Historic Liver Scarring,2020-05,England,40,5428,57,0.737
Goats,Offal,Historic Liver Scarring,2020-06,England,17,1769,65,0.961
